"code","Name","Weight","Type"
"2330","台積電","43.8","股票"
"202109TE","電子指數期貨","9.74","期貨"
"2317","鴻海","4.21","股票"
"2454","聯發科","3.8","股票"
"2412","中華電","2.38","股票"
"2303","聯電","2.27","股票"
"2308","台達電","2.03","股票"
"3711","日月光投控","1.62","股票"
"3045","台灣大","1.01","股票"
"6415","矽力-KY","0.96","股票"
"3008","大立光","0.95","股票"
"2382","廣達","0.85","股票"
"2395","研華","0.82","股票"
"3034","聯詠","0.79","股票"
"8046","南電","0.76","股票"
"2379","瑞昱","0.74","股票"
"2327","國巨","0.68","股票"
"2357","華碩","0.68","股票"
"3037","欣興","0.59","股票"
"2408","南亞科","0.58","股票"
"4904","遠傳","0.58","股票"
"6669","緯穎","0.53","股票"
"3481","群創","0.5","股票"
"2409","友達","0.49","股票"
"4938","和碩","0.49","股票"
"2345","智邦","0.48","股票"
"2301","光寶科","0.4","股票"
"2474","可成","0.39","股票"
"2344","華邦電","0.35","股票"
"2377","微星","0.32","股票"
"2324","仁寶","0.3","股票"
"3189","景碩","0.3","股票"
"5269","祥碩","0.3","股票"
"2354","鴻準","0.28","股票"
"2347","聯強","0.27","股票"
"2492","華新科","0.27","股票"
"4958","臻鼎-KY","0.27","股票"
"2356","英業達","0.25","股票"
"3231","緯創","0.24","股票"
"3702","大聯大","0.24","股票"
"6239","力成","0.24","股票"
"2353","宏碁","0.23","股票"
"2360","致茂","0.23","股票"
"3532","台勝科","0.22","股票"
"2337","旺宏","0.21","股票"
"2383","台光電","0.21","股票"
"3443","創意","0.21","股票"
"3406","玉晶光","0.2","股票"
"3533","嘉澤","0.2","股票"
"6409","旭隼","0.2","股票"
"2352","佳世達","0.19","股票"
"3023","信邦","0.19","股票"
"2481","強茂","0.18","股票"
"3044","健鼎","0.18","股票"
"6271","同欣電","0.17","股票"
"2351","順德","0.16","股票"
"2376","技嘉","0.16","股票"
"2385","群光","0.16","股票"
"2329","華泰","0.15","股票"
"3035","智原","0.15","股票"
"3661","世芯-KY","0.15","股票"
"6116","彩晶","0.15","股票"
"2313","華通","0.14","股票"
"2369","菱生","0.14","股票"
"2449","京元電子","0.14","股票"
"6533","晶心科","0.14","股票"
"2059","川湖","0.13","股票"
"2458","義隆","0.13","股票"
"4961","天鈺","0.13","股票"
"6213","聯茂","0.13","股票"
"6269","台郡","0.13","股票"
"8081","致新","0.13","股票"
"2441","超豐","0.12","股票"
"3006","晶豪科","0.12","股票"
"3042","晶技","0.12","股票"
"3665","貿聯-KY","0.12","股票"
"6176","瑞儀","0.12","股票"
"6202","盛群","0.12","股票"
"6257","矽格","0.12","股票"
"6285","啟碁","0.12","股票"
"6531","愛普","0.12","股票"
"6756","威鋒電子","0.12","股票"
"8215","明基材","0.12","股票"
"2340","光磊","0.11","股票"
"2368","金像電","0.11","股票"
"2393","億光","0.11","股票"
"2401","凌陽","0.11","股票"
"2404","漢唐","0.11","股票"
"2428","興勤","0.11","股票"
"3005","神基","0.11","股票"
"3016","嘉晶","0.11","股票"
"6168","宏齊","0.11","股票"
"6456","GIS-KY","0.11","股票"
"8016","矽創","0.11","股票"
"8150","南茂","0.11","股票"
"2459","敦吉","0.1","股票"
"3003","健和興","0.1","股票"
"3545","敦泰","0.1","股票"
"3682","亞太電","0.1","股票"
"3706","神達","0.1","股票"
"4968","立積","0.1","股票"
"5234","達興材料","0.1","股票"
"6166","凌華","0.1","股票"
"6214","精誠","0.1","股票"
"6278","台表科","0.1","股票"
"6706","惠特","0.1","股票"
"8110","華東","0.1","股票"
"2328","廣宇","0.09","股票"
"2450","神腦","0.09","股票"
"2451","創見","0.09","股票"
"2455","全新","0.09","股票"
"3014","聯陽","0.09","股票"
"3017","奇鋐","0.09","股票"
"3019","亞光","0.09","股票"
"3026","禾伸堂","0.09","股票"
"3376","新日興","0.09","股票"
"4942","嘉彰","0.09","股票"
"6191","精成科","0.09","股票"
"6206","飛捷","0.09","股票"
"6282","康舒","0.09","股票"
"6412","群電","0.09","股票"
"8070","長華*","0.09","股票"
"8213","志超","0.09","股票"
"1582","信錦","0.08","股票"
"2355","敬鵬","0.08","股票"
"2388","威盛","0.08","股票"
"2397","友通","0.08","股票"
"2402","毅嘉","0.08","股票"
"2426","鼎元","0.08","股票"
"2436","偉詮電","0.08","股票"
"2456","奇力新","0.08","股票"
"2464","盟立","0.08","股票"
"2485","兆赫","0.08","股票"
"2489","瑞軒","0.08","股票"
"3450","聯鈞","0.08","股票"
"3596","智易","0.08","股票"
"3617","碩天","0.08","股票"
"3653","健策","0.08","股票"
"5434","崇越","0.08","股票"
"5469","瀚宇博","0.08","股票"
"6579","研揚","0.08","股票"
"2332","友訊","0.07","股票"
"2375","凱美","0.07","股票"
"3022","威強電","0.07","股票"
"3049","和鑫","0.07","股票"
"3090","日電貿","0.07","股票"
"3413","京鼎","0.07","股票"
"3515","華擎","0.07","股票"
"3563","牧德","0.07","股票"
"4906","正文","0.07","股票"
"5285","界霖","0.07","股票"
"5471","松翰","0.07","股票"
"6153","嘉聯益","0.07","股票"
"6230","尼得科超眾","0.07","股票"
"2373","震旦行","0.06","股票"
"2472","立隆電","0.06","股票"
"3454","晶睿","0.06","股票"
"8021","尖點","0.06","股票"
"2387","精元","0.05","股票"
"2421","建準","0.05","股票"
"2478","大毅","0.05","股票"
"3015","全漢","0.05","股票"
"6416","瑞祺電通","0.05","股票"
"2405","浩鑫","0.04","股票"
"4994","傳奇","0.04","股票"
"6668","中揚光","0.03","股票"
